event,time_s
inicio_movement,3.0504
fin_movement,7.7504
inicio_movement,10.1504
fin_movement,12.9504
inicio_movement,17.2504
fin_movement,19.1504
inicio_movement,30.5504
fin_movement,40.9504
inicio_movement,44.3504
fin_movement,46.6504
inicio_movement,48.9504
fin_movement,58.1504
inicio_movement,61.6504
fin_movement,71.4504
inicio_movement,75.4504
fin_movement,78.2504
inicio_freezing,96.4504
fin_freezing,98.0504
inicio_movement,100.0504
fin_movement,103.3504
inicio_movement,108.1504
fin_movement,122.2504
inicio_movement,126.6504
fin_movement,129.7504
inicio_movement,136.3504
fin_movement,153.7504
inicio_freezing,154.2504
fin_freezing,156.4504
inicio_freezing,157.9504
fin_freezing,161.8504
inicio_freezing,162.5504
fin_freezing,165.5504
inicio_freezing,169.2504
fin_freezing,176.8504
inicio_freezing,179.3504
fin_freezing,184.1504
inicio_freezing,192.3504
fin_freezing,196.4504
inicio_freezing,201.1504
fin_freezing,205.3504
inicio_freezing,209.9504
fin_freezing,211.2504
inicio_freezing,215.3504
fin_freezing,216.3504
inicio_freezing,216.9504
fin_freezing,217.9504
inicio_movement,221.0504
fin_movement,223.1504
inicio_freezing,223.4504
fin_freezing,225.0504
inicio_freezing,226.8504
fin_freezing,228.4504
inicio_freezing,238.7504
fin_freezing,240.8504
inicio_movement,241.3504
fin_movement,245.7504
inicio_freezing,246.8504
fin_freezing,248.8504
inicio_movement,250.5504
fin_movement,253.8504
inicio_movement,256.1504
fin_movement,258.8504
inicio_movement,264.2504
fin_movement,273.0504
inicio_movement,277.3504
fin_movement,284.8504
inicio_movement,287.3504
fin_movement,289.1504
inicio_freezing,291.7504
fin_freezing,294.1504
inicio_movement,298.7504
fin_movement,304.8504
inicio_movement,308.9504
fin_movement,311.6504
inicio_movement,318.8504
fin_movement,321.8504
inicio_freezing,323.9504
fin_freezing,325.9504
inicio_freezing,346.8504
fin_freezing,353.6504
inicio_freezing,355.3504
fin_freezing,360.7504
inicio_freezing,362.6504
fin_freezing,366.2504
inicio_movement,367.6504
fin_movement,368.6504
inicio_movement,371.2504
fin_movement,435.8504
inicio_freezing,436.8504
fin_freezing,437.8504
inicio_freezing,445.1504
fin_freezing,446.1504
inicio_freezing,450.4504
fin_freezing,451.6504
inicio_freezing,453.1504
fin_freezing,454.1504
